Year,App,Taxon,Class,Order,Family,Genus,Importer,Exporter,Condition,Purpose,Source
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Oman,Solomon Islands,live,Commercial,Wild
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Oman,South Africa,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Pakistan,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Pakistan,Netherlands,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Qatar,South Africa,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Saudi Arabia,Kuwait,live,Personal,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Singapore,Mozambique,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Belgium,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Philippines,live,Breeding in captivity,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Philippines,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Singapore,live,Commercial,Bred in captivity
2016,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,United States of America,Singapore,specimens,Medical,Bred in captivity
2016,II,Lorius hypoinochrous,Aves,Psittaciformes,Loriidae,Lorius,Switzerland,Germany,live,Commercial,Born in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Bangladesh,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Bangladesh,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Jordan,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Japan,Philippines,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Japan,Singapore,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,South Korea,Philippines,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Kuwait,Philippines,live,Breeding in captivity,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Lebanon,Czech Republic,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Lebanon,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Mozambique,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Oman,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Oman,South Africa,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Pakistan,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Qatar,South Africa,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Saudi Arabia,Kuwait,live,Personal,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Singapore,Mozambique,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Belgium,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Indonesia,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Philippines,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,Taiwan,Singapore,live,Commercial,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,United States of America,Singapore,specimens,Medical,Bred in captivity
2016,II,Lorius lory,Aves,Psittaciformes,Loriidae,Lorius,United States of America,Singapore,specimens,Scientific,Bred in captivity
2016,II,Phigys solitarius,Aves,Psittaciformes,Loriidae,Phigys,Israel,Netherlands,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,United Arab Emirates,Oman,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,Argentina,Portugal,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,Argentina,Portugal,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,Bangladesh,Indonesia,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,Kuwait,Indonesia,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,Kuwait,Philippines,live,Breeding in captivity,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,Mozambique,Indonesia,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,Oman,South Africa,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,Qatar,South Africa,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,Singapore,Mozambique,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,Taiwan,Indonesia,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,Taiwan,Singapore,live,Commercial,Bred in captivity
2016,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,United States of America,Singapore,specimens,Medical,Bred in captivity
2016,II,Psitteuteles goldiei,Aves,Psittaciformes,Loriidae,Psitteuteles,Israel,Belgium,live,Commercial,Bred in captivity
2016,II,Psitteuteles goldiei,Aves,Psittaciformes,Loriidae,Psitteuteles,Qatar,South Africa,live,Commercial,Bred in captivity
2016,II,Trichoglossus spp.,Aves,Psittaciformes,Loriidae,Trichoglossus,Iran,Kuwait,live,Personal,Bred in captivity
2016,II,Trichoglossus chlorolepidotus,Aves,Psittaciformes,Loriidae,Trichoglossus,Japan,Belgium,live,Commercial,Bred in captivity
2016,II,Trichoglossus chlorolepidotus,Aves,Psittaciformes,Loriidae,Trichoglossus,Qatar,South Africa,live,Commercial,Bred in captivity
2016,II,Trichoglossus chlorolepidotus,Aves,Psittaciformes,Loriidae,Trichoglossus,Turkey,Solomon Islands,live,Commercial,Wild
2016,II,Trichoglossus chlorolepidotus,Aves,Psittaciformes,Loriidae,Trichoglossus,Taiwan,New Zealand,live,Commercial,Bred in captivity
2016,II,Trichoglossus flavoviridis,Aves,Psittaciformes,Loriidae,Trichoglossus,Czech Republic,Indonesia,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,United Arab Emirates,Belgium,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,United Arab Emirates,Oman,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Aruba,Netherlands,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Bangladesh,Indonesia,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Bangladesh,Indonesia,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Bangladesh,Netherlands,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Bahrain,Kuwait,live,Personal,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Bahrain,Kuwait,live,Personal,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Brunei Darussalam,Netherlands,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Bahamas,United States of America,live,Personal,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Belize,United States of America,live,Commercial,Born in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Czech Republic,Indonesia,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,France,Australia,live,Personal,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Guatemala,Belgium,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Guatemala,Netherlands,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Jordan,Indonesia,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Japan,Belgium,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Japan,Belgium,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Japan,New Zealand,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Japan,Philippines,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Japan,Singapore,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Japan,Taiwan,eggs (live),Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Japan,Taiwan,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,South Korea,Spain,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,South Korea,Spain,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,South Korea,Netherlands,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,South Korea,Philippines,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Kuwait,Indonesia,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Kuwait,Philippines,live,Breeding in captivity,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Lebanon,Czech Republic,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Mexico,Spain,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Mexico,Spain,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Mozambique,Indonesia,live,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Nambia,South Africa,live,Breeding in captivity,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,New Zealand,South Africa,bodies,Commercial,Bred in captivity
2016,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,Oman,Indonesia,live,Commercial,Bred in captivity
